en,md
count,計數；支數；紗支
behavior,行為
advantage,優點
print,印；印像
advice,建議；通告
cross,交叉；雜交
mix,混合；混合式
listen,守聽
adult,成人
channel,管道；頻道；水道；通道；航道；波段；渠道
engine,引擎；發動機
feet,腳；字腳
finance,財務
memory,記憶；記憶體
foundation,基礎；基座
rating,評比；分級；評等；定額；分等；額定
threat,威脅
sale,銷售；買賣
incident,事故；意外事件；突發事件；入射
de,去
shape,形；形狀；型鋼；型料
reserve,準備；保留；儲備；存量；保留區；儲量；蘊藏量
institution,機構
parties,各方
traffic,話務
engage,接戰
reflect,反映
surface,面；表面；曲面；翼面
primary,主要的；原生；原生的；主星；原發的
maximum,最大；最大值
citizen,市民
beach,海灘
bottom,底部
appeal,訴求；申訴
equipment,設備；裝置；裝備
survey,調查；檢驗；測量；調查所；調查法
direction,方向；方位
earth,地；地球；地面；接地
majority,多數；成年
pair,對；副；配對；線對
professor,教授
flight,飛行；橫桿
sea,海；浪
heat,熱；熱能
category,種類；類別；類目
agent,劑；代理人；代理商；試劑；代理者
standards,標準
progress,進步；進度；進展
reality,現實；真實
trend,趨勢；傾向；指向；趨向
champion,倡導者
ticket,權證
lines,線
fly,飛；飛行；蠅
favorite,最愛
weather,天氣
relation,關係
mission,任務；使命
gift,贈與；恩物
load,負荷；載重；負載；重荷
pandemic,大流行；大流行的
map,地圖；映射
holiday,假日；節日
division,除；分裂；事業部；分劃；分度
menu,手冊；菜單；目錄；選單
net,網；網絡；純粹的
status,情況；狀況；地位
estimate,估計；判斷；推估；估計值；估計量
crisis,危機；危症
provider,提供者
highlight,強調；亮點；強光
youth,幼年期
requirements,要求事項
sleep,睡眠；休眠
advertisement,廣告；廣告作品
congress,會議
hall,乘場
edge,邊緣；稜
topic,題目
roll,搖擺；滾動；橫搖；滾轉；輥
wind,風；卷；脹氣；旋緊
graduate,畢業生；量筒；分度
object,對象；用途；物件；客體
delivery,輸送；交割；分娩；交船；演說技巧
cold,感冒
sun,日；太陽
capacity,產能；容量
relevant,相關
materials,材料
governor,調速器
garden,園
straight,直線
assist,輔助
emergency,緊急
freedom,自由
scheme,計畫；方法；方案
server,伺服器
temperature,溫度
package,包裝；包裹；封裝；套裝軟體
abuse,濫用
applications,應用
violence,暴力
flow,流；流動
switch,開關
tie,連結；連串
mine,礦；地雷；礦場；水雷
camp,營地
editor,編輯；編輯程式
bed,台；層；床；地基；配樂；版台；床面；底床
fuel,燃料；燃油
strength,強力；強度
complaint,抱怨
truth,真
exist,存在
stress,壓力；威脅；緊迫；逆境；應力；重音
debt,債務；負債
labor,人工；分娩
port,口；孔；開口；港口；埠；港埠；左舷；端口
advance,預付款
pack,獸群
lake,湖；湖泊
fix,固定；定位；固著
panel,板；板面；儀表板；儀表盤
implement,實施；實作；農具
hearing,聽；聽證；聽覺；聽語
measures,系；措施
scale,比率；鱗；鱗片；刻度；音階；比例尺；水垢；鱗屑
browser,瀏覽器
housing,住宅；外殼；外罩
climate,氣候
profile,側面；剖面；側形；側面圖；縱斷面
download,下載；卸載
path,路徑；航道
institute,研究所
female,女性；女性的；雌性
dry,乾；乾燥
shift,移；移動；轉移；輪班；位移；移位；推移；偏移
coronavirus,冠狀病毒
combine,合併；聯合收穫機
duty,能率
village,村落
brown,褐色；棕色
mass,量；塊；大眾；質量；眾數
spirit,酒精
gun,槍
partners,合夥人
regulation,調整；管制；修正；法規；規則；調節
core,中心；核心；堤心
newspaper,報紙
appropriate,適當；適當的；撥款
monitor,監視器；顯示器；水槍；導生；監測器
concept,概念；觀念
generate,產生
records,記錄
corner,角；角落；界點；刀尖；隅角；書角
operating,手術的
correct,正確；矯正；補正
debate,辯論
reference,參考
winter,冬
hill,丘陵
privacy,隱私；隱私權；隱私性
volume,卷；容量；體積；音量
border,邊界；邊框；圖框
brain,腦
dress,處理
library,圖書館
lay,定位；層次；產卵；武器瞄準
glass,玻璃
pattern,模式；型態；圖案；模型；圖樣；圖形；樣式；圖型
entry,進入；款目；輸入項
radio,無線電
route,路線；途徑；路徑；航路
aspect,方向；方位；季相；坡向；號誌顯示
error,錯誤；誤差
capture,捕捉；捕獲；擷取；襲奪
episode,期；事件；場景
estate,財產
alternative,方案；交替；交替的
warm,暖；溫暖
visitor,訪客
sex,性；性別
distance,距離
protest,抗爭
mountain,山；山的
bear,熊
advertising,廣告；廣告設計
jump,跳躍；跳動；跳越；躍變
meaning,意義
farm,農田
links,連桿
waste,廢棄物；浪費；廢料；殘渣；廢石
component,成分；配置；零件；組件；分量；成份；元件；組成物
bay,灣；區域；艙；海灣；檔位；機架
initiative,倡議
banks,斜床
failure,破壞；故障；破裂；衰竭；失效；失常；破綻
guideline,規則；指引；指導綱要
battery,電池；套組
square,區；廣場；平方；四方形；角尺
background,背景；基底
infrastructure,基礎建設；基礎設施；基本架構；基礎結構；下部結構
leg,段；腿；分支；航段；接腳
procedure,程序；步驟；電腦程序
instance,個例；實例；訴訟程序
programme,節目；節目手冊；日課表
mode,型；模；方式；型式；調式；眾數；模數；模態
researcher,研究員；研究人員；研究者
profit,利益；利潤
sample,樣本；樣品；取樣；試樣
album,相簿
speech,演說；言語；語音
bus,本體；匯流排；衛星本體；母線
fish,魚；遺留物
witness,見證；證人
mental,精神的
grade,等級；分級；坡度；品位；坡降
ice,冰
vaccine,疫苗
cook,廚師；廚工；蒸煮；旋塞
transport,運輸；遷移；運送；轉運；搬運；輸送；移位；運輸機；運輸艦
suit,套裝；著裝；正式服裝
wave,波；浪；波浪
frame,架；架構；支架；溫床；景框；構架；圖框
coast,海岸；滑行
journey,列車；旅程
kick,啟動；踢除；突跳
vision,視；視覺；願景；視力；視域
actor,演員；行動者
quote,引述
ring,環；環狀；菌環；振鈴
guidelines,規範
virus,病毒
fashion,流行
partnership,合夥；夥伴關係
paint,塗；油漆；塗料
commitment,承諾
bridge,橋；橋梁；公路橋；電橋
cloud,雲；雲端；混濁
weapon,武器
delay,延遲；延時；遲延
command,命令；指令
affair,緋聞
improvement,改善；改進；改良工程
politics,政治
length,長度
technique,技術；技巧；工藝
defense,防禦；防衛
theme,主題；題目；文題
zone,區；帶；區域；地帶；區間
selection,選擇；遴選；甄選；選拔
taste,味；味覺
transaction,交易；交換
secret,機密
deny,拒絕
phase,期；相；階段；層面；位相；相位
forum,公會；論壇；集會廣場
talent,演員
aid,幫助；援助；輔助設備
corporation,公司
joint,節；聯合；關節；接頭；接口；節理；接合點
refuse,垃圾；廢棄物；廢物
bond,鍵；連結；債券；鍵結；握裹
rank,秩；階級；等級
license,授權；執照；使用許可
hole,洞；孔；破洞；電洞
forms,模板
studio,攝影室
surprise,奇襲
medicine,藥；醫學；醫藥；藥品
pool,池；鬱血；油層
log,原木；日誌；工作日誌
cast,鑄造；模子；圓柱體；鑄型
speaker,揚聲器
root,根；樹根
chair,座椅
wood,木材
chain,鏈；鏈條
male,男性；雄性
demonstrate,表演
instruction,教學；指令
crowd,群眾
province,區
minimum,最小；最小值；最小限度
stone,核；石頭；結石；拼版
storage,儲存；庫存；倉儲；儲藏；儲藏室；貯藏；儲存器
presence,在場
guard,保護；防護；鞘
argument,論點；引數；論證；論辯
confidence,自信；信賴；置信；可信度；信賴度
appearance,外觀；外貌；表象
cycle,循環；週期；迴圈
drugs,藥物；藥品
boost,增加；增壓
theory,理論；學說
boat,小艇
wine,酒；葡萄酒
magazine,雜誌；彈藥庫；炸藥庫
principle,原則；原理
metal,金屬；金屬元素
pieces,件
meal,粉料
distribution,發行；分配；運送；分布；運銷；配送；分佈
stream,流；河川；水流；河流；氣流；串流；海流
properties,性質
analyst,分析員
employer,雇主；定作人
television,電視；電視機
combination,合併；組合；聚形
sentence,句；語句；樂句
signal,訊息；訊號；信號；記號
reporter,記者
coverage,報導；涵蓋；視界；涵蓋範圍；圖層；蓋度
upgrade,升級
scientist,科學家；自然科學家
journal,期刊
giant,巨大；巨大的；巨星；大水槍
mistake,錯誤；過錯
lift,電梯；升力；舉升；升層；升程
hide,隱藏；生皮；獸皮
symptom,症狀；徵兆
tournament,比賽
trouble,故障
contribution,貢獻；分攤
plants,植物
edition,版；版本
desire,期望；慾望
trail,拖曳
investigate,研究；調查
truck,卡車
marriage,匹配
cap,帽；上限；基座；頂蓋；雷管；窯頂；無邊帽；管帽
rain,雨
lesson,課
elements,元素；元件
proper,性質
developer,開發者；顯影劑；顯影液
theater,劇場
coffee,咖啡
hang,停擺
permit,許可；允許
and/or,及；或
declare,宣告
guarantee,保證；保證書
outcome,結果；成果
assessment,評估；評鑑；評價；評量
pop,爆出
label,符號；標籤；標記；標註；標號；唇瓣
kitchen,廚房
gather,取料；聚排
yard,場；碼；車場
invite,邀請
burn,燃燒；燒傷；灰燼；燒錄
priority,優先；優先順序；優先權
prefer,優選
recipe,暫停；處方；配方
edit,編輯
participant,參與者
lock,鎖；鎖定；水閘；閉鎖；船閘
warn,警告
employment,使用；就業；雇用；聘僱
possibility,可能性
recovery,恢復；回收；復原；回復；回收率；追償；恢複
format,格式；型式
innovation,創新；革新
draft,吃水；草稿；匯票；吃水線；賊風
opposition,衝
defend,抗辯
expense,費用
cat,駝峰
infection,感染；傳染
valley,谷；小谷
stores,材料
signs,記號
entertainment,娛樂；交際費
passenger,乘客
recover,恢復；回收；復位
conflict,衝突
destroy,銷毀
vice,副；虎鉗
intelligence,智慧；智能；智力
registration,登記；檢驗；註冊；對位
forest,森林
fruit,果實
fees,費用；規費
journalist,新聞記者
reporting,報導
reply,回答；答覆；回覆
index,指數；指標；索引
storm,風暴；暴風
producer,生產者；發生器；發生爐
engineering,工程；工程學
birth,出生
mount,山；安裝；底座；機架；駕乘；山峯；封固；架座
wheel,輪；車輪
plastic,塑膠；塑料；塑性；整形的；塑性的；可塑的
recommendation,建議；推薦；建議案
expectation,期待；預期；期望；期望值
ideal,理想
gear,衣服；裝置；齒輪；起落架
species,種；種類；物種
recall,回憶；罷免；召回；藥物回收；產品召回
sweet,甜的
defence,防禦；抗辯
blow,衝擊；爆炸；產卵；燒斷
enhance,增強
assistant,助理；助劑
importance,重要度
goods,貨物；貨品
motor,運動；運動的；馬達；電動機；發動機
bird,鳥；飛機
spoke,輻；輪輻
layer,層；分層；岩層；色層；圖層
leaves,葉
inch,吋
chapter,章
circumstance,環境；情況；事件
crew,工作人員；組員
repair,修復；修理；修補；修補作用
manufacturer,製造商；製造者
pitch,瀝青；間距；音調；音高；俯仰；傾角
poll,民意調查；民意測驗；點詢
delete,刪除
deputy,副職
default,違約；遲延
wild,野生的
reform,改革
perspective,觀點；透視；透視法
organisation,組織
wake,喚醒；航跡；尾流；跡流；尾跡
export,輸出
queen,女王
identity,身分；認同；識別；本體；恆等；同一性
compete,比賽；競賽
shoe,滑軌
provision,條款；給養
reaction,反應；互作用；反作用
resolution,解決；分解；解析度
seed,種；種子
enterprise,企業；企業家精神
survive,生存
stadium,期
attract,吸引
rare,稀少
returns,回波
healthcare,健康照護
emerge,排出；孵化
leads,導線
sugar,糖
relative,相對；相對的；關係調
mail,郵件
tag,標籤
objective,目標；目的；物鏡
horse,馬；夾層
branch,枝；分館；分支；分枝；支路
bright,亮度；原色
flag,旗；標示；標旗；旗標
ignore,略
stretch,範圍；伸展；展延；伸長；延展性；拉伸
reward,回饋；報酬；獎賞；酬賞
broken,斷的；破損的
resolve,解析
engineer,工程師
bottle,瓶；容器
diet,飲食
photograph,攝影；照相；相片；像片
steel,鋼
egg,蛋；卵
tank,桶；槽；儲槽
kit,組；套件；套組
buyer,採購員
appointment,派用
van,廂型車；箱車
sky,天空
gap,間隔；空隙；間隙
description,說明；描述；性狀
surgery,手術；外科學
penalty,罰款；懲罰；違約金
chemical,化學品；化學的；化學藥品
planet,行星
row,列；音列
creation,產生；創生
flower,花
professionals,專業人員
fat,脂肪
accident,意外；事故；災害；失事；災變；意外事故；偶發事故
rent,租金；裂縫；裂口；斷口
muscle,肌；肌肉
tom,支撐
silver,銀；棉條
tear,撕；撕裂；開裂；跳變
height,高；高度；頂點；高程
designer,設計師；設計者
context,脈絡；上下文；訊文；系絡
restriction,限制；限定；約束；檢束；限制式
maintenance,維持；維護；保養；保全；養護；維持期
